date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
20200306,KY,,,,0,,,,,0,,,7,0,,,,,,3,0,,0,0,,,,,,,,0,7,0,,,,,,0,7,7
20200307,KY,,,,0,,,,,0,,,9,2,,,,,,,1,,1,0,,,,,,,,0,10,3,,,,,,0,10,3
20200308,KY,,,,0,,,,,0,,,13,4,,,,,,,1,,0,0,,,,,,,,0,14,4,,,,,,0,14,4
20200309,KY,,,,0,,,,,0,,,17,4,,,,,,,4,,3,0,,,,,,,,0,21,7,,,,,,0,21,7
20200310,KY,,,,0,,,,,0,,,28,11,,,,,,,6,,2,0,,,,,,,,0,34,13,,,,,,0,34,13
20200311,KY,,,,0,,,,,0,,,46,18,,,,,,,8,,2,0,,,,,,,,0,54,20,,,,,,0,54,20
20200312,KY,,,,0,,,,,0,,,56,10,,,,,,,8,,0,0,,,,,,,,0,64,10,,,,,,0,64,10
20200313,KY,,,,0,,,,,0,,,107,51,,,,,,,11,,3,0,,,,,,,,0,118,54,,,,,,0,118,54
20200314,KY,,1,,1,,,,,0,,,139,32,,,,,,,14,,3,0,,,,,,,,0,153,35,,,,,,0,153,35
20200315,KY,,1,,0,,,,,0,,,139,0,,,,,,,16,,2,0,,,,,,,,0,155,2,,,,,,0,155,2
20200316,KY,,1,,0,,,,,0,,,234,95,,,,,,,21,,5,0,,,,,,,,0,255,100,,,,,,0,255,100
20200317,KY,,1,,0,,,,,0,,,295,61,,,,,,,22,,1,0,,,,,,,,0,317,62,,,,,,0,317,62
20200318,KY,,1,,0,,,,,0,,,354,59,,,,,,,26,,4,0,,,,,,,,0,380,63,,,,,,0,380,63
20200319,KY,,1,,0,,,,,0,,,454,100,,,,,,,35,,9,0,,,,,,,,0,489,109,,,,,,0,489,109
20200320,KY,,1,,0,,,,,0,,,592,138,,,,,,,47,,12,0,,,,,,,,0,639,150,,,,,,0,639,150
20200321,KY,,2,,1,,,,,0,,,714,122,,,,,,,54,,7,0,,,,,,,,0,768,129,,,,,,0,768,129
20200322,KY,,3,,1,,,,,0,,,1472,758,,,,,,,99,,45,0,,,,,,,,0,1571,803,,,,,,0,1571,803
20200323,KY,A,3,,0,,,,,0,,,1762,290,,,,,,,104,,5,0,,,,,,,,0,1866,295,,,,,,0,1866,295
20200324,KY,A,4,,1,,,,,0,,,1762,0,,,,,,,124,,20,0,,,,,,,,0,1886,20,,,,,,0,1886,20
20200325,KY,A,4,,0,,,,,0,,,2865,1103,,,,,,,157,,33,0,,,,,,,,0,3022,1136,,,,,,0,3022,1136
20200326,KY,A,4,,0,,,,,0,,,3102,237,,,,,,,198,,41,0,,,,,,,,0,3300,278,,,,,,0,3300,278
20200327,KY,A,6,,2,,,,,0,,,3768,666,,,,,,,248,,50,0,,,,,,,,0,4016,716,,,,,,0,4016,716
20200328,KY,A,8,,2,,,,,0,,,4821,1053,,,,,,,302,,54,0,,,,,,,,0,5123,1107,,,,,,0,5123,1107
20200329,KY,A,9,,1,,,,,0,,,5147,326,,,,,,,394,,92,0,,,,,,,,0,5541,418,,,,,,0,5541,418
20200330,KY,A,9,,0,,,,,0,,,5579,432,,,,,,,439,,45,0,,,,,,,,0,6018,477,,,,,,0,6018,477
20200331,KY,A,11,,2,,,,,0,,,6330,751,,,,,,,480,,41,0,,,,,,,,0,6810,792,,,,,,0,6810,792
20200401,KY,A,17,,6,,,,,0,,,6965,635,,,,,,,591,,111,0,,,,,,,,0,7556,746,,,,,,0,7556,746
20200402,KY,A,20,,3,,,,,0,,,7220,255,,,,,,,680,,89,0,,,,,,,,0,7900,344,,,,,,0,7900,344
20200403,KY,A,31,,11,,,,,0,,,12034,4814,,,,,,,770,,90,0,,,,,,,,0,12804,4904,,,,,,0,12804,4904
20200404,KY,A,37,,6,,,,,0,,,14741,2707,,,,,,,831,,61,0,,,,,,,,0,15572,2768,,,,,,0,15572,2768
20200405,KY,A,40,,3,,,,,0,,,15746,1005,,,,,,,917,,86,0,,,,,,,,0,16663,1091,,,,,,0,16663,1091
20200406,KY,A,45,,5,,,,,0,,,17812,2066,,,,,,,955,,38,0,,,,,,,,0,18767,2104,,,,,,0,18767,2104
20200407,KY,A,59,,14,,,,,0,,,18947,1135,,,,,,,1008,,53,0,,,,,,,,0,19955,1188,,,,,,0,19955,1188
20200408,KY,A,65,,6,,,,,0,,,20455,1508,,,,,,,1149,,141,0,,,,,,,,0,21604,1649,,,,,,0,21604,1649
20200409,KY,A,73,,8,,,,,0,,,20455,0,,,,,,,1346,,197,0,,,,,,,,0,21801,197,,,,,,0,21801,197
20200410,KY,A,90,,17,,459,459,271,459,177,105,22595,2140,,,,,,,1693,,347,0,,,,,,464,,0,24288,2487,,,,,,0,24288,2487
20200411,KY,A,90,,0,,459,459,271,0,177,105,22595,0,,,,,,,1693,,0,0,,,,,,464,,0,24288,0,,,,,,0,24288,0
20200412,KY,A,94,,4,,459,459,271,0,177,105,22727,132,,,,,,,1840,,147,0,,,,,,464,,0,24567,279,,,,,,0,24567,279
20200413,KY,A,97,,3,,667,667,289,208,256,136,23903,1176,,,,,,,1963,,123,0,,,,,,607,,0,25866,1299,,,,,,0,25866,1299
20200414,KY,A,104,,7,,673,673,299,6,259,136,24635,732,,,,,,,2048,,85,0,,,,,,629,,0,26683,817,,,,,,0,26683,817
20200415,KY,A,115,,11,,687,687,305,14,263,137,25487,852,,,,,,,2210,,162,0,,,,,,653,,0,27697,1014,,,,,,0,27697,1014
20200416,KY,A,122,,7,,807,807,412,120,367,252,26033,546,,,,,,,2291,,81,0,,,,,,862,,0,28324,627,,,,,,0,28324,627
